time_index,time,n_cells,n_malignant_epithelial_cell,n_M0_macrophage,n_effector_T_cell,prop_malignant_epithelial_cell,prop_M0_macrophage,prop_effector_T_cell,density_total,density_malignant_epithelial_cell,density_M0_macrophage,density_effector_T_cell,mean_nnd,mean_nnd_M0_macrophage,mean_nnd_effector_T_cell,mean_nnd_malignant_epithelial_cell,clark_evans_R,clark_evans_R_M0_macrophage,clark_evans_R_effector_T_cell,clark_evans_R_malignant_epithelial_cell,shannon_diversity,n_exhausted_T_cell,prop_exhausted_T_cell,density_exhausted_T_cell,mean_nnd_exhausted_T_cell,clark_evans_R_exhausted_T_cell,n_M1_macrophage,prop_M1_macrophage,density_M1_macrophage,mean_nnd_M1_macrophage,clark_evans_R_M1_macrophage,n_M2_macrophage,prop_M2_macrophage,density_M2_macrophage,mean_nnd_M2_macrophage,clark_evans_R_M2_macrophage
20,200.0,991.0,891.0,42.0,28.0,0.8990918264379415,0.04238143289606458,0.028254288597376387,0.0005233673122068475,0.00047055527262997084,2.2181056622288187e-05,1.4787371081525458e-05,21.9346994245664,81.93288805217189,140.53346865704123,21.936692591268073,1.003610001186034,0.7717548625049712,1.0808246652181435,0.9517140199000703,0.25580929226758997,22.0,0.022199798183652877,1.161864870691286e-05,132.60439557449988,0.9039943714318261,2.0,0.0020181634712411706,1.0562407915375326e-06,1018.8051383201907,2.094124945408913,6.0,0.006054490413723511,3.1687223746125983e-06,264.42369348474926,0.9413962371863511
21,210.0,987.0,887.0,42.0,25.0,0.8986828774062816,0.0425531914893617,0.025329280648429583,0.0005213641600781777,0.000468541043555566,2.2185708939496926e-05,1.3205779130652932e-05,22.0181148609608,83.20093090521357,156.00697646473174,21.964059877686594,1.0054968520893772,0.7837811901115705,1.1338511119504984,0.9508596861904888,0.25680895766919815,25.0,0.025329280648429583,1.3205779130652932e-05,131.03711235000785,0.9523713548696795,2.0,0.002026342451874367,1.0564623304522346e-06,1009.2964076234787,2.0747975729958648,6.0,0.0060790273556231,3.1693869913567034e-06,263.10234884521554,0.9367902380261109
22,220.0,985.0,885.0,42.0,25.0,0.8984771573604061,0.04263959390862944,0.025380710659898477,0.0005204743161646659,0.00046763428406673024,2.219281348113296e-05,1.3210008024483905e-05,21.92207453073378,83.50591324448648,155.76747860282848,21.92981976051577,1.0002563041669723,0.7867801732013083,1.1322917068101452,0.9484582743072734,0.25720921130794805,25.0,0.025380710659898477,1.3210008024483905e-05,131.02056528331732,0.9524035493323032,2.0,0.0020304568527918783,1.0568006419587124e-06,1004.1934838526569,2.064638059299803,6.0,0.006091370558375634,3.1704019258761373e-06,260.580785624467,0.9279606198801078
23,230.0,985.0,885.0,41.0,24.0,0.8984771573604061,0.0416243654822335,0.024365482233502538,0.0005206833639704724,0.00046782210874504374,2.1673114642425755e-05,1.2686701254102882e-05,21.911869972817694,85.18617031222395,158.9667017734929,21.928191460969476,0.999991454646138,0.7931580822426958,1.132427783255605,0.9485782910581536,0.2587821857959021,26.0,0.026395939086294416,1.3743926358611454e-05,124.72760262173249,0.9248003390578997,3.0,0.003045685279187817,1.5858376567628603e-06,538.8294467422979,1.357096343799703,6.0,0.006091370558375634,3.1716753135257205e-06,258.23116688173064,0.9197779931801658
24,240.0,984.0,884.0,41.0,24.0,0.8983739837398373,0.041666666666666664,0.024390243902439025,0.0005204392514491263,0.0004675490836189305,2.1684968810380262e-05,1.2693640279246982e-05,21.889089988228086,84.93885744157622,158.48861817368777,21.93059975922648,0.9987176477991803,0.7910716328172706,1.1293307876814342,0.9484056000191521,0.2589844237818387,26.0,0.026422764227642278,1.3751443635850897e-05,124.82238086525868,0.9257561466571271,3.0,0.003048780487804878,1.5867050349058728e-06,539.863481530845,1.3600724599001084,6.0,0.006097560975609756,3.1734100698117455e-06,257.28111915587573,0.9166446534143107
25,250.0,983.0,883.0,41.0,24.0,0.8982706002034588,0.04170905391658189,0.024415055951169887,0.0005200642178445381,0.0004671583971075555,2.1691386502162828e-05,1.2697396976875802e-05,21.87786284480041,84.71121692479123,157.97101728499388,21.93268772118027,0.9978456719690858,0.7890682569835896,1.1258091120692462,0.9480995285976899,0.2591870079678447,26.0,0.026449643947100712,1.3755513391615452e-05,124.87106049747939,0.9262542160150886,3.0,0.003051881993896236,1.5871746221094753e-06,538.3302171733194,1.356410394012274,6.0,0.006103763987792472,3.1743492442189506e-06,256.2109993811389,0.9129670830544634
26,260.0,982.0,882.0,41.0,24.0,0.8981670061099797,0.04175152749490835,0.024439918533604887,0.000519552431450065,0.00046664485187266524,2.169210762673387e-05,1.2697819098575925e-05,21.881120571478828,85.03958701187678,157.32570077705586,21.91580927949,0.9975030808418195,0.7921401264178464,1.1212287839258424,0.9468490494349017,0.25938993927102055,26.0,0.026476578411405296,1.3755970690123919e-05,124.9950472616499,0.9271893225004697,3.0,0.003054989816700611,1.5872273873219906e-06,532.6394168499538,1.3420938067744974,6.0,0.006109979633401222,3.1744547746439813e-06,254.1207201555932,0.9055337577494156
27,270.0,981.0,881.0,40.0,24.0,0.8980632008154944,0.040774719673802244,0.024464831804281346,0.0005190058907874218,0.000466100091522649,2.1162319705909148e-05,1.269739182354549e-05,21.89065462677975,84.1738270758691,157.4505201047374,21.935565013979588,0.9974126875152058,0.7744416554399433,1.1220994667850404,0.9471492401009837,0.26063460544634803,26.0,0.026503567787971458,1.3755507808840946e-05,125.11639428772395,0.9280738365046087,3.0,0.0030581039755351682,1.5871739779431862e-06,530.0241018988219,1.3354815168578853,7.0,0.007135575942915392,3.703405948534101e-06,303.27195338291443,1.1672473702109685
28,280.0,980.0,880.0,39.0,23.0,0.8979591836734694,0.03979591836734694,0.02346938775510204,0.0005184479699575453,0.0004655451158802448,2.063211309014721e-05,1.2167656437779124e-05,21.86508328584542,78.61110295849555,163.76941608108189,21.924265651273146,0.9957119532674701,0.7141439152218756,1.1425264567176587,0.9460975954698445,0.2621530050608798,27.0,0.027551020408163266,1.4283770600871146e-05,121.63635359404944,0.9194218519943739,4.0,0.004081632653061225,2.116114163092022e-06,300.0425937057107,0.8729360993881153,7.0,0.007142857142857143,3.703199785411038e-06,303.3070944810505,1.1673501292408093
29,290.0,980.0,880.0,39.0,23.0,0.8979591836734694,0.03979591836734694,0.02346938775510204,0.0005184167234913822,0.00046551705782899624,2.0630869608330516e-05,1.2166923102348765e-05,21.899735562906997,80.08841310966515,162.76527838770104,21.928137091121275,0.9972599266164807,0.7275426394549044,1.1354869377609738,0.9462361439146547,0.26171743917665813,27.0,0.027551020408163266,1.4282909728844202e-05,121.65440362925783,0.9195305771946877,3.0,0.003061224489795918,1.586989969871578e-06,234.4229112606357,0.5906322294096541,8.0,0.00816326530612245,4.231973252990875e-06,226.9098646637607,0.9335870729283712
